Drug_combo,Accuracy,R_recall,S_recall,R_precision,S_precision
CTZ_Y,0.13829787234042554,1.0,0.0,0.13829787234042554,0.0
CTZ_G,0.9361702127659575,0.6538461538461539,0.9814814814814815,0.85,0.9464285714285714
CTZ_GY,0.9281914893617021,0.6730769230769231,0.9691358024691358,0.7777777777777778,0.9486404833836858
CTX_Y,0.21052631578947367,1.0,0.0,0.21052631578947367,0.0
CTX_G,0.9556786703601108,0.868421052631579,0.9789473684210527,0.9166666666666666,0.9653979238754326
CTX_GY,0.9445983379501385,0.881578947368421,0.9614035087719298,0.8589743589743589,0.9681978798586572
AMP_Y,0.7579617834394905,1.0,0.0,0.7579617834394905,0.0
AMP_G,0.8535031847133758,0.9243697478991597,0.631578947368421,0.8870967741935484,0.7272727272727273
AMP_GY,0.8343949044585988,0.8991596638655462,0.631578947368421,0.8842975206611571,0.6666666666666666
AMX_Y,0.6073059360730594,1.0,0.0,0.6073059360730594,0.0
AMX_G,0.867579908675799,0.8571428571428571,0.8837209302325582,0.9193548387096774,0.8
AMX_GY,0.8538812785388128,0.849624060150376,0.8604651162790697,0.904,0.7872340425531915
AMC_Y,0.30357142857142855,1.0,0.0,0.30357142857142855,0.0
AMC_G,0.75,0.6764705882352942,0.782051282051282,0.575,0.8472222222222222
AMC_GY,0.7529761904761905,0.6764705882352942,0.7863247863247863,0.5798319327731093,0.847926267281106
TZP_Y,0.05952380952380952,1.0,0.0,0.05952380952380952,0.0
TZP_G,0.8660714285714286,0.45,0.8924050632911392,0.20930232558139536,0.962457337883959
TZP_GY,0.8630952380952381,0.4,0.8924050632911392,0.19047619047619047,0.9591836734693877
CXM_Y,0.27393617021276595,1.0,0.0,0.27393617021276595,0.0
CXM_G,0.8563829787234043,0.6893203883495146,0.9194139194139194,0.7634408602150538,0.8869257950530035
CXM_GY,0.848404255319149,0.6990291262135923,0.9047619047619048,0.7346938775510204,0.8884892086330936
CET_Y,0.4267515923566879,1.0,0.0,0.4267515923566879,0.0
CET_G,0.8980891719745223,0.8059701492537313,0.9666666666666667,0.9473684210526315,0.87
CET_GY,0.89171974522293,0.7910447761194029,0.9666666666666667,0.9464285714285714,0.8613861386138614
GEN_Y,0.14627659574468085,1.0,0.0,0.14627659574468085,0.0
GEN_G,0.9707446808510638,0.8909090909090909,0.9844236760124611,0.9074074074074074,0.9813664596273292
GEN_GY,0.9547872340425532,0.8727272727272727,0.9688473520249221,0.8275862068965517,0.9779874213836478
TBM_Y,0.29936305732484075,1.0,0.0,0.29936305732484075,0.0
TBM_G,0.8407643312101911,0.7021276595744681,0.9,0.75,0.8761061946902655
TBM_GY,0.8407643312101911,0.6808510638297872,0.9090909090909091,0.7619047619047619,0.8695652173913043
TMP_Y,0.554140127388535,0.0,1.0,0.0,0.554140127388535
TMP_G,0.9044585987261147,0.8714285714285714,0.9310344827586207,0.9104477611940298,0.9
TMP_GY,0.9044585987261147,0.8714285714285714,0.9310344827586207,0.9104477611940298,0.9
CIP_Y,0.22606382978723405,1.0,0.0,0.22606382978723405,0.0
CIP_G,0.9069148936170213,0.8470588235294118,0.9243986254295533,0.7659574468085106,0.9539007092198581
CIP_GY,0.9069148936170213,0.8470588235294118,0.9243986254295533,0.7659574468085106,0.9539007092198581
